,Адрес установки камеры,ID папки,Latitude,Longitude,District
26,БД; Казань; ул. Чапаева 16 въезд во двор парковка,26,55.86351345,49.0832581,Авиастроительный район
27,БД; Казань; ул. Побежимова 36 1 подъезд,27,55.8590031,49.0852794,Авиастроительный район
28,БД; Казань; ул. Побежимова 36 3 подъезд,28,55.8600913,49.0786892,Авиастроительный район
29,БД; Казань; ул. Побежимова 36 4 подъезд,29,55.8590031,49.0852794,Авиастроительный район
30,БД; Казань; ул. Побежимова 36 5 подъезд,30,55.8590031,49.0852794,Авиастроительный район
31,БД; Казань; ул. Побежимова 36 6 подъезд,31,55.8590031,49.0852794,Авиастроительный район
32,БД; Казань; ул. Побежимова 36 7 подъезд,32,55.8590031,49.0852794,Авиастроительный район
33,БД; Казань; ул. Побежимова 36 дет. площадка,33,55.86039285,49.0816281529253,Авиастроительный район
34,БД; Казань; ул. Побежимова 36 обзор вдоль дома (1),34,55.86039285,49.0816281529253,Авиастроительный район
35,БД; Казань; ул. Побежимова 36 обзор вдоль дома (2),35,55.86039285,49.0816281529253,Авиастроительный район
36,БД; Казань; ул. Побежимова 36 парковка,36,55.86039285,49.0816281529253,Авиастроительный район
37,БД; Казань; ул. Побежимова 36 парковка,37,55.86039285,49.0816281529253,Авиастроительный район
38,БД; Казань; ул. Побежимова 36 въезд,38,55.86039285,49.0816281529253,Авиастроительный район
39,БД; Казань; ул. Побежимова 36 вни перпендикулярно дому,39,55.86039285,49.0816281529253,Авиастроительный район
40,Безопасный двор; г. Казань Проспект Победы д. 139 корпус 3,40,55.775939,49.215934,Советский район
41,Безопасный двор; г. Казань ул. Вишневского д. 49,41,55.785207,49.15122,Вахитовский район
42,Безопасный город; г. Казань Аметьевская магистраль-ул. Даурская (рядом с ж/д тоннелем); Проезжая часть по Аметьевской магистрали в сторону ГАИ,42,55.76316,49.164548,Советский район
43,Безопасный город; г. Казань ул. Амирхана Еники - ул. Рабочей Молодежи (1),43,55.782137,49.153785,Вахитовский район
44,Безопасный город; г. Казань ул. Амирхана Еники - ул. Рабочей Молодежи (2),44,55.782503,49.153848,Вахитовский район
45,Безопасный город; г. Казань ул. Амирхана Еники - ул. Рабочей Молодежи,45,55.781766,49.153483,Вахитовский район
46,Безопасный город; г. Казань ул. Баумана д.47,46,55.7920375,49.1121547,Вахитовский район
47,Безопасный город; г. Казань ул. Богатырева- ул. Лазарева перекресток,47,55.816043,49.047412,Кировский район
48,Безопасный город; г. Казань ул. Б. Шахиди – Саид Галеева – Р. Яхина - 1,48,55.789517,49.101069,Вахитовский район
49,Безопасный город; г. Казань ул. Чернышевского – Баумана - 1,49,55.792827,49.110434,Вахитовский район
50,Безопасный город; г. Казань ул. Чернышевского – Баумана - 2,50,55.792984,49.110412,Вахитовский район
51,Безопасный город; г. Казань ул. Дементьева д. 33,51,55.8587659,49.1023741,Авиастроительный район
52,Безопасный город; г. Казань ул. Горьковское шоссе (оз. Лебяжье) – подземный переход (2),52,55.825838,49.0425195,Кировский район
53,Безопасный город; г. Казань ул. Кремлевская д. 2 Нац. Музей Спасская башня,53,55.795762,49.109603,Вахитовский район
54,Безопасный город; г. Казань ул. Молодежная д.8,54,55.862793,49.099731,Авиастроительный район
55,Безопасный город; г.  Казань ул. Н. Ершова - ул. Вишневского проезжая часть по ул. Н. Ершова,55,55.793742,49.153077,Вахитовский район
56,Безопасный город; г. Казань ул. Пушкина д.17,56,55.785461,49.1195052,Вахитовский район
57,Безопасный город; г. Казань ул. Р. Яхина – ул. Г. Исхаки - 1,57,55.789987,49.102257,Вахитовский район
